g,median_elevation,summer_temperature,precipitation,lat,max_elevation,winter_precipitation,lon,cloud_cover,continentality
8.10272812,1071,7.626666667,483.99,-54.78,1172.5,36.27333333,-68.4,63.39375,8.395
1.86017033,2660,11.66333333,1637.81,47.04,2950,91.57833333,12.97,61.73166667,18.83
9.194071429,2560,14.88166667,1521.845,47.48,2910,83.785,13.62,61.52958333,20.045
4.162200017,3039.75,11.68333333,1550.76,46.8,3715.5,93.79,10.77,62.95708333,18.725
4.411076605,2795,10.56166667,1726.48,46.85,3140,110.065,10.15,64.26541667,17.855
6.880924838,3183.333333,11.68333333,1550.76,46.83,3491,93.79,10.79,62.95708333,18.725
6.901790543,2845,11.66333333,1637.81,47.05,3080,91.57833333,12.95,61.73166667,18.83
5.22,2910,11.68333333,1550.76,46.78,3420,93.79,11.01,62.95708333,18.725
5.717323308,2760,10.02833333,1662.105,47.11,3585,94.94333333,12.29,62.97083333,18.26
5.466394558,2910,10.56166667,1726.48,46.85,3160,110.065,10.1,64.26541667,17.855
4.206764706,2985,10.02833333,1662.105,47.1,3700,94.94333333,12.7,62.97083333,18.26
1.887812305,2780,10.02833333,1662.105,47.13,3050,94.94333333,12.6,62.97083333,18.26
4.242091837,2800,10.56166667,1726.48,46.85,3135,110.065,10.13,64.26541667,17.855
3.877444561,3146.357143,11.68333333,1550.76,46.88,3618.285714,93.79,10.82,62.95708333,18.725
4.759624956,2685,11.66333333,1637.81,47.03,3120,91.57833333,13,61.73166667,18.83
5.033760504,3035,10.02833333,1662.105,47.08,3455,94.94333333,12.38,62.97083333,18.26
6.164832446,5239.538462,15.61333333,864.135,-16.35,5352.307692,12.13333333,-68.12,56.38291667,5.17
14.34797669,5128.5,22.48833333,1383.785,-16.17,5334,31.42166667,-68.09,57.2675,4.945
5.000226242,5392.222222,22.48833333,1383.785,-16.25,6000,31.42166667,-68.17,57.2675,4.945
7.798190476,900,6.135,733.255,58.93,1150,48.73333333,-63.53,65.14791667,29.475
4.348511905,1670,7.623333333,792.715,57.1,1820,64.48666667,-130.82,73.90208333,22.01
4.324007353,1280,7.623333333,792.715,56.93,2190,64.48666667,-130.97,73.90208333,22.01
3.9735,2000,9.603333333,843.475,51.43,2740,82.67166667,-124.92,69.4325,20.315
5.254411765,2100,7.96,901.77,50.82,2900,88.46333333,-123.57,69.36791667,20.22
0.856265248,1200,1.06,247.375,75.42,1890,11.08833333,-83.25,57.1925,38.86
7.429,1930,10.73,1396.45,49.95,2150,148.505,-122.98,68.5325,18.77
5.589619048,920,6.135,733.255,58.93,1090,48.73333333,-63.55,65.14791667,29.475
4.003268709,370,2.695,166.44,75.88,520,6.126666667,-79.5,56.01583333,39.42
4.47002819,360,2.695,166.44,75.88,520,6.126666667,-79.5,56.01583333,39.42
1.85952381,1250,6.135,733.255,58.88,1505,48.73333333,-63.68,65.14791667,29.475
5.736185196,2637.5,6.436666667,960.88,51.65,3187.5,65.67333333,-116.56,65.92208333,22.87
5.379021739,2100,11.08333333,800.89,50.43,2610,76.77333333,-122.6,68.10833333,20.935
5.378978698,2750,9.48,711.035,51.85,3020,36.505,-116.48,64.57875,23.995
6.865264208,1800,10.73,1396.45,49.88,2105,148.505,-122.98,68.5325,18.77
3.242333333,820,5.57,739.895,58.95,1080,49.91166667,-63.78,66.11958333,30.265
5.127120879,2050,7.96,901.77,50.87,2750,88.46333333,-123.58,69.36791667,20.22
3.643354555,1950,9.603333333,843.475,51.33,3800,82.67166667,-125.05,69.4325,20.315
1.57476261,1160,-2.236666667,229.735,79.45,1780,13.39,-90.69,57.73833333,40.96
5.433321955,2240,11.08833333,1630.91,51.12,2670,149.0316667,-118.62,67.30333333,22.585
3.650214676,1645,9.303333333,686.48,56.97,2010,54.26166667,-130.68,73.195,23.45
3.9,2200,7.96,901.77,50.8,2500,88.46333333,-123.42,69.36791667,20.22
3.183708791,3465,11.07833333,2009.935,46.01,4119,139.325,7.87,63.85125,16.945
5.84609127,2880,9.688333333,2263.645,46.42,3230,161.135,8.48,65.40541667,16.47
5.247839286,3302,11.07833333,2009.935,46,4012.666667,139.325,7.87,63.85125,16.945
6.964072395,2920,9.688333333,2263.645,46.44,3370,161.135,8.33,65.40541667,16.47
2.183111625,2760,16.58166667,1388.06,46.82,3420.5,92.335,8.98,68.57625,19.835
6.889714286,3167,5.673333333,2178.23,46.4,3263,160.305,9.82,62.96333333,16.25
7.966571429,2641.25,14.52333333,1449.945,46.97,2785,86.46166667,9.4,65.8125,19.225
2.648785714,2468,14.70166667,1623.845,46.38,2953,106.8833333,7.49,67.51333333,18.445
2.967387218,2740,16.58166667,1388.06,46.83,2980,92.335,8.98,68.57625,19.835
8.164740626,2940,9.688333333,2263.645,46.62,3620,161.135,8.4,65.40541667,16.47
-3.8775,2720,9.688333333,2263.645,46.6,2916.5,161.135,8.6,65.40541667,16.47
6.86,2754,9.688333333,2263.645,46.59,2832,161.135,8.61,65.40541667,16.47
7.444,2814,15.61833333,1420.64,46.32,2878.5,99.25,7.21,66.93041667,18.705
5.403460683,2780,10.56166667,1726.48,46.85,3160,110.065,10.08,64.26541667,17.855
5.10575,2765.666667,15.61833333,1420.64,46.32,2978,99.25,7.23,66.93041667,18.705
7.772333991,5352.625,7.515,655.68,29.38,5635,3.84,96.97,55.00375,15.89
4.434013056,4032.833333,11.08666667,255.665,43.11,4478.5,5.963333333,86.81,41.55208333,28.405
6.289629997,3981,11.08666667,255.665,43.11,4260,5.963333333,86.81,41.55208333,28.405
4.661747104,4091,11.08666667,255.665,43.11,4478.5,5.963333333,86.81,41.55208333,28.405
18.32917965,4818.333333,15.43666667,2513.38,4.81,4900,169.05,-75.37,71.14541667,1.255
1.104857143,2650.75,16.93666667,1014.16,47.41,2811.25,54.17,10.97,64.81958333,20.575
7.080459749,5294.333333,17.13666667,1914.51,-0.47,5760,133.3666667,-78.15,81.78166667,1.665
9.319368723,3078.928571,16.14666667,974.48,42.65,3188.571429,70.02333333,0.63,55.51583333,18.675
13.71273071,4600,20.11333333,3529.13,-4.1,4800,268.4633333,137.17,78.45041667,1.4
14.86754315,4610,20.11333333,3529.13,-4.08,4860,268.4633333,137.17,78.45041667,1.4
4.183712132,5020,9.053333333,500.915,32.23,6263,32.64,77.51,51.30083333,20.06
