glacier name,lat,lon,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Leviy Aktru,50.08,87.72,-0.039076131,-0.387147995,0.407494472,-0.742612311,0.167911729,-0.152998702,0.394101598,-0.202603302,0.327842577,0.737740563,-1.026609423,-0.352960824,-0.419079727,-0.501221991,-0.352089394,0.295574963,-0.142776695,0.211342436,0.118478511,0.411796085,0.014239948,0.195529467,-0.626136727,0.005224789,-0.102398737,-0.221271828,-0.287114085,-0.379164647,-0.303613183,-0.413878783,-0.248506279,0.184364533,0.576873109,-0.037337963,0.181343914,0.110201475,-0.135936548,-0.266315524,-0.54044874,-0.771590132,0.401564015,0.401528574,-0.279454562,-0.009974036,-0.096803568,-0.649546535,-1.269755067,-0.719212719,-0.323567197,-0.450090659,-0.681402686,-0.609157526,-0.499468446,-0.200644552,-0.230936105,-0.283458975,-0.459948372,0.294575876,0.161883774,-0.278179373,-0.816668116,0.200415157,0.111512861
Maliy aktru,50.04,87.74,0.005216725,-0.219181793,0.417785492,-0.501316538,0.223607725,-0.093815214,0.36209442,-0.143880801,0.332960891,0.68209853,-0.731154394,-0.247210264,-0.282718928,-0.359763676,-0.214125817,0.36809123,-0.093793064,0.273506235,0.144946872,0.390696689,0.030073746,0.149527509,-0.432258564,0.076259126,-0.056247956,-0.157929161,-0.137165599,-0.25824555,-0.205590544,-0.307083331,-0.182565081,0.199117273,0.441359684,0.01405828,0.19834015,0.18103484,-0.081866619,-0.138900017,-0.416606527,-0.566758393,0.4343159,0.409496847,-0.175226712,0.054438191,-0.011582427,-0.477558135,-0.935993653,-0.495767256,-0.220615222,-0.261978913,-0.484636318,-0.455576723,-0.333642489,-0.151371798,-0.0985187,-0.195601781,-0.310555761,0.295370321,0.157704693,-0.193454365,-0.613413227,0.185755823,0.123378639
Praviy,50.08,87.73,0.344193636,-0.127646617,0.801365605,-0.305892771,0.668039637,0.169109756,0.779002835,0.068945462,0.685333845,1.242813907,-0.851382705,0.024725902,0.017927178,-0.227887989,0.091903753,0.464759296,0.169096721,0.694116548,0.488534956,0.762710656,0.267613819,0.595181928,-0.218735078,0.454825464,0.202821432,0.008482077,-0.000859481,-0.061429733,-0.109423165,-0.102383025,-0.02186525,0.467868242,0.753672425,0.143473068,0.340895422,0.52500419,0.069786881,-0.081563597,-0.437023894,-0.497969788,0.746547737,0.820344426,0.076681261,0.299357512,0.085593748,-0.413491572,-0.983423074,-0.369203079,0.020277744,0.105837344,-0.380375101,-0.409009028,-0.267430099,0.144794494,0.067225575,-0.012976846,-0.147379451,0.614223582,0.605466754,0.087283509,-0.678764463,0.410574516,0.648320291
Shumskiy,45.08,80.23,-0.044246407,-1.01888987,0.050856796,-0.979029777,-0.463213105,-0.96092808,0.149613017,-0.66987069,0.121246499,-0.902408114,-1.235200171,-0.722802545,-0.216392374,-1.275821883,-0.891631422,-0.54081979,-0.872646242,0.08719291,-0.556130934,-0.40632733,-0.234280152,-0.381416498,-1.28023486,-1.144086485,-0.756394673,-1.253933554,-0.94128578,-0.467487086,-0.756743984,-0.816871994,-1.37214544,-1.008516454,-1.122113667,-0.842628972,-0.707878304,-0.451814264,-0.330552283,-0.824731357,-1.129705207,-1.149015446,-0.46348601,-0.347556918,-0.61720988,-1.111232092,-0.936301984,-1.409802623,-0.895653417,-1.006228417,-1.29509848,-1.295552138,-0.917619746,-0.311672828,-0.78450415,-0.978870396,-0.967204474,-0.607207671,-1.943291405,-0.549277755,-0.391488363,-0.742038019,-1.436223163,-0.6423893,-1.309745146
Muravlev,45.1,80.23,-0.87373951,-1.146918724,-0.570184944,-1.546339992,-1.127733568,-1.141555702,-0.482739452,-1.018809352,-0.441183036,-0.979835412,-1.536651226,-1.135812446,-0.771974596,-1.477698077,-1.429281938,-0.661614015,-1.097690854,-0.554361168,-0.875520788,-0.939786444,-0.48724729,-1.016277432,-1.629931686,-1.460885847,-1.119079778,-1.69521794,-1.358449682,-0.977961144,-1.186186502,-1.236164316,-1.523715145,-1.538211436,-1.567295444,-1.235273648,-1.15736283,-1.212985084,-0.80481885,-1.087054779,-1.498527766,-1.511085562,-0.800056816,-0.746848238,-1.357879744,-1.523973778,-1.338138514,-1.676783118,-1.593572494,-1.398569376,-1.521629082,-1.807326472,-1.4681456,-0.83101867,-1.269396934,-1.575950724,-1.405326696,-1.199761486,-2.303764097,-0.963703164,-1.101539246,-1.352273266,-1.78105772,-1.132838644,-1.761882432
Urumqi No.1,43.11,86.81,-0.01035073,-0.222010119,-0.00644528,-0.342464625,-0.090318328,-0.141987108,-0.098134596,-0.003853891,-0.21819501,-0.014254775,-0.353701273,-0.094921906,-0.143301009,-0.100459191,-0.194220183,0.098101437,0.022908666,0.083172402,-0.232994514,0.089744984,0.056279621,-0.313911893,-0.330429908,-0.160482467,0.263254145,-0.357953213,-0.227928557,0.022935318,-0.474976468,-0.10151785,0.095746315,-0.155168147,-0.08705329,-0.235035653,-0.527819138,-0.379632697,-0.194784462,0.020361584,-0.219050805,-0.124602085,0.010427184,0.134727237,-0.188305482,-0.162378462,-0.003640464,-0.453653441,-0.53640891,-0.68680156,-0.324337604,-0.754877606,-0.915361981,-0.200036557,-0.633252631,-0.498473773,-0.635993208,-0.632500946,-0.663842999,-0.133582892,-1.189101384,-0.970394509,-0.786380163,-0.483814974,-0.350797059
Golubina,42.46,74.49,0.087394601,-0.090522208,0.244820731,-0.408062032,0.082884078,-0.281982867,0.148919545,-0.215012046,-0.005126669,-0.743796372,-0.331627415,-0.137324449,0.086424276,-0.549682544,-0.207375808,0.157161827,-0.105095347,0.536368129,-0.063559852,-0.378155218,0.131491476,-0.467218327,-0.586098138,-0.822666786,-0.570240657,-0.640468531,-0.161852906,-0.037522441,-0.40534264,0.113159815,-0.663146144,-0.482372428,-0.793518824,-0.346190193,-0.449787847,0.309961178,-0.063286838,-0.292522643,-0.603994847,-0.550067949,-0.049038137,-0.358086759,-0.636687045,-0.882420399,-0.481232188,-0.957620496,-0.522985203,-0.577864856,-0.917610775,-0.659163775,-0.156893954,0.15906164,-0.329337068,-0.654817396,-0.634511304,-0.809734397,-1.380901963,-0.266329665,-0.436068471,-0.786242233,-0.941704633,-0.671603965,-1.003038922
Ts.Tuyuksu,43.05,77.08,0.145329039,-0.532709549,0.64050905,-0.778422115,-0.077603788,-0.450375061,0.598676224,-0.372052141,0.11527296,-0.72922305,-0.721094875,-0.196211386,0.160623536,-0.787088726,-0.157450654,0.134560298,-0.334805433,0.675014197,-0.141441037,-0.347124212,0.282061271,-0.09918535,-0.604247151,-0.759306518,-0.301194861,-1.007320195,-0.37420012,0.191675631,-0.391546816,0.131263153,-0.743598991,-0.619339858,-0.948282258,-0.224917577,-0.293489921,0.337066276,0.162603365,-0.187857405,-0.824790073,-1.000654205,0.156824402,-0.062307993,-0.521482046,-1.026552627,-0.351262408,-0.993769036,-0.476026477,-0.299764133,-1.305887351,-1.074312676,0.114369965,0.202456953,-0.438692707,-0.955833353,-0.852848328,-0.84977553,-1.991117065,-0.046852962,-0.361644577,-0.836499078,-1.536460598,-0.640738995,-1.212249978
Igly Tuyuksu,43.05,77.09,-0.195207394,-0.845068554,0.371241797,-1.045722166,-0.435136562,-0.697572248,0.316767497,-0.675598894,-0.17983468,-1.030431249,-0.974396315,-0.488832514,-0.125491994,-1.041271149,-0.515648805,-0.151789313,-0.571970323,0.334378176,-0.383686381,-0.608756776,0.016394725,-0.414177227,-0.873740238,-1.028943571,-0.610459402,-1.289286461,-0.660856817,-0.116674916,-0.668740437,-0.19654398,-1.025552787,-0.910435615,-1.193899089,-0.523386745,-0.584289872,-0.010923494,-0.212382357,-0.482124174,-1.11227559,-1.246078557,-0.145046666,-0.34423056,-0.790633807,-1.250508164,-0.670388462,-1.259187754,-0.828903204,-0.645479971,-1.672105241,-1.337429457,-0.300481532,-0.14547841,-0.810617215,-1.285217272,-1.178122185,-1.189927645,-2.273729528,-0.359565946,-0.680549016,-1.200449068,-1.835267738,-0.95763525,-1.522102186
Molodezhniy,43.05,77.06,-0.443552597,-0.983129318,0.115071989,-1.264071609,-0.691367321,-0.869369838,0.072346062,-0.886147778,-0.442103809,-1.164756591,-1.165285998,-0.720704192,-0.381224842,-1.19578922,-0.834476138,-0.349146111,-0.757679892,0.070060991,-0.601769198,-0.848937181,-0.120564687,-0.648537117,-1.041528419,-1.205558528,-0.806690408,-1.471395147,-0.896929184,-0.342006097,-0.875280234,-0.441372405,-1.123863766,-1.10786339,-1.408982716,-0.757084314,-0.777931276,-0.304020126,-0.47901931,-0.650916959,-1.327701008,-1.416561252,-0.323786761,-0.535167394,-1.040260159,-1.424705918,-0.888581525,-1.484349465,-1.063755947,-0.84344058,-1.766181815,-1.557076794,-0.624601492,-0.333884003,-1.023742803,-1.548596121,-1.360706008,-1.414105961,-2.433123105,-0.62860545,-0.910610521,-1.391498696,-1.97777901,-1.205005357,-1.679426526
